question_id,rating,rated_at
2026-03-10T03-11-05Z,up,2026-03-10T03:11:57Z
2026-03-10T03-19-28Z,up,2026-03-10T03:20:05Z
2026-03-12T00-18-46Z,up,2026-03-12T03:16:23Z
2026-03-14T00-20-36Z,down,2026-03-14T19:50:55Z
2026-03-15T00-25-12Z,down,2026-03-18T03:07:27Z
2026-03-16T00-25-22Z,up,2026-03-18T03:53:27Z
2026-03-17T00-22-52Z,up,2026-03-18T04:24:06Z
2026-03-18T00-23-37Z,up,2026-03-18T04:42:14Z
2026-03-19T00-23-57Z,down,2026-03-19T04:10:52Z
2026-03-20T00-23-07Z,up,2026-03-20T02:51:07Z
2026-03-22T00-23-30Z,down,2026-03-22T17:33:52Z
